ID,WorkType,Type,Filepath,location
40000,First Steering Committee Meeting on KP Rural Economic Transformation Project,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/07/banner--840x333-840x620.jpg,Khyber Pakhtunkhwa,
40001,Expansion of Rescue 1122 Stations to Tehsil Level Is The Geat Achievement of KP Government,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/07/banner-rescue-1122-840x444-840x620.jpg,Khyber Pakhtunkhwa,
40002,KP Government Conducted Its First Working Group on Carbon Finance Markets,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/07/4-840x472-840x620.jpg,Khyber Pakhtunkhwa,
40003,Meeting on Karak Institue of Petroleum Technology,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/07/banner-karak-pertrolum-840x611-840x620.jpg,Khyber Pakhtunkhwa,
40004,23rd PDWP Held on 28th June 2022,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/07/banner-23pdwp-840x439-840x620.jpg,Khyber Pakhtunkhwa,
40005,M&E Team of P&DD Along With C&W Staff Visited GGHS Qasim Toru Maira Mardan,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/07/banner-mardan-840x342-840x620.jpg,Khyber Pakhtunkhwa,
40006,Indicative Country Pipeline & Monitoring (ICPM) Mission Met ACS KP Mr Shahab Ali Shah at P&D  Department,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/06/banner-icmp-840x342-840x620.jpg,Khyber Pakhtunkhwa,
40007,22nd PDWP Held on 17 June 2022,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/06/banner-22nd-pdwp-840x315-840x620.jpg,Khyber Pakhtunkhwa,
40008,KP Budget 2022-23,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/06/KP-Budget-2022-23-840x536-840x620.jpg,Khyber Pakhtunkhwa,
40009,PSC Meeting On National Program For Improvement of Water Course Phase-II,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/06/2-3-840x444-840x620.jpg,Khyber Pakhtunkhwa,
40010,The World Bank Portfolio Review Meeting held at  P&D Department KP,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/06/banner-wbp-840x472-840x620.jpg,Khyber Pakhtunkhwa,
40011,His Excellency Abdullah Al-Mutairi Chief Executive Officer EnerTech Holdings Visited P&D Department KP,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/06/banner-green-hydrogen-840x406-840x620.jpg,Khyber Pakhtunkhwa,
40012,Implementation of the Second Phase of AIP,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/06/banner-aip2-840x489-840x620.jpg,Khyber Pakhtunkhwa,
40013,2nd Project Steering Committee Meeting About IAIP,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/06/banner-spscm-840x494-840x620.jpg,Khyber Pakhtunkhwa,
40014,Uplift and Beautification of Urban Centers and Bazars in Newly Merged Districts (NMDs).,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/06/2-840x331-840x620.jpg,Khyber Pakhtunkhwa,
40015,21st PDWP Held on 30th May 2022,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/05/banner-2-840x439-840x620.jpg,Khyber Pakhtunkhwa,
40016,MoU is Signed Between  KDP and Khyber Pakhtunkhwa TEVTA,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/05/banner-1-840x600-840x620.jpg,Khyber Pakhtunkhwa,
40017,20th PDWP Held on 18th May 2022,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/05/banner-20th-PDWP-840x352-840x620.jpg,Khyber Pakhtunkhwa,
40018,M&E Team of P&D KP Visited Various Sites in D.I.Khan Division,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/05/banner-dikhan-840x620.jpg,Khyber Pakhtunkhwa,
40019,Meeting on Merged Areas Governance Project UNDP,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/05/banner-840x359-840x620.jpg,Khyber Pakhtunkhwa,
40020,Preparation & Planning for ADP 2022-23,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/05/banner-adp-2022-840x620-840x620.jpg,Khyber Pakhtunkhwa,
40021,Farewell Meeting  in The Honor of Additional Secretary Mr Shahid Mahmood,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/05/banner-farewll-840x378-840x620.jpg,Khyber Pakhtunkhwa,
40022,6th Steering Committee Meeting Regarding SEED Pakistan,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/05/banner-6th-steering-committee-meeting-840x576-840x620.jpg,Khyber Pakhtunkhwa,
40023,19th PDWP Held on 22nd April 2022,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/04/banner-17-840x485-840x620.jpg,Khyber Pakhtunkhwa,
40024,The 32nd Meeting of the Board of Directors of Trans Peshawar,Planning and Development,https://pndkp.gov.pk/wp-content/uploads/2022/04/banner--840x620-840x620.jpg,Khyber Pakhtunkhwa,
